メンバー,レアリティ,カード名,リンク
乙宗梢,DR,Prism Echo,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPrism%20Echo%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,DR,Ether Aria,https://wikiwiki.jp/llll_wiki/%EF%BC%BBEther%20Aria%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,LR,be proud,https://wikiwiki.jp/llll_wiki/%EF%BC%BBbe%20proud%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,LR,Reflection in the mirror/102,https://wikiwiki.jp/llll_wiki/%EF%BC%BBReflection%20in%20the%20mirror%EF%BC%8F102%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,BR,18th Birthday,https://wikiwiki.jp/llll_wiki/%EF%BC%BB18th%20Birthday%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,春色ニューデイズ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%98%A5%E8%89%B2%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%87%E3%82%A4%E3%82%BA%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,チェリー♫ピクニック,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%81%E3%82%A7%E3%83%AA%E3%83%BC%E2%99%AB%E3%83%94%E3%82%AF%E3%83%8B%E3%83%83%E3%82%AF%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,Holiday∞Holiday,https://wikiwiki.jp/llll_wiki/%EF%BC%BBHoliday%E2%88%9EHoliday%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,365 Days,https://wikiwiki.jp/llll_wiki/%EF%BC%BB365%20Days%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,DEEPNESS,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDEEPNESS%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,H.S.C.T.☆,https://wikiwiki.jp/llll_wiki/%EF%BC%BBH.S.C.T.%E2%98%86%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,PASSION!!!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPASSION%21%21%21%21%21%21%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,秋色カントリーロード,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%A7%8B%E8%89%B2%E3%82%AB%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC%E3%83%AD%E3%83%BC%E3%83%89%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,ツバサ・ラ・リベルテ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%84%E3%83%90%E3%82%B5%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%AA%E3%83%99%E3%83%AB%E3%83%86%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,冬のおくりもの,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%86%AC%E3%81%AE%E3%81%8A%E3%81%8F%E3%82%8A%E3%82%82%E3%81%AE%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,AURORA FLOWER,https://wikiwiki.jp/llll_wiki/%EF%BC%BBAURORA%20FLOWER%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,ユメワズライ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%A6%E3%83%A1%E3%83%AF%E3%82%BA%E3%83%A9%E3%82%A4%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,桃節銘記,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%A1%83%E7%AF%80%E9%8A%98%E8%A8%98%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,いつでも、いつまでも,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%84%E3%81%A4%E3%81%A7%E3%82%82%E3%80%81%E3%81%84%E3%81%A4%E3%81%BE%E3%81%A7%E3%82%82%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,奇跡の舞踏会,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A5%87%E8%B7%A1%E3%81%AE%E8%88%9E%E8%B8%8F%E4%BC%9A%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,輪廻の銀河へ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%BC%AA%E5%BB%BB%E3%81%AE%E9%8A%80%E6%B2%B3%E3%81%B8%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,ダイヤモンドハッピー,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%80%E3%82%A4%E3%83%A4%E3%83%A2%E3%83%B3%E3%83%89%E3%83%8F%E3%83%83%E3%83%94%E3%83%BC%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,Dream Believers,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDream%20Believers%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,Reflection in the mirror,https://wikiwiki.jp/llll_wiki/%EF%BC%BBReflection%20in%20the%20mirror%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,フォーチュンムービー,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%82%A9%E3%83%BC%E3%83%81%E3%83%A5%E3%83%B3%E3%83%A0%E3%83%BC%E3%83%93%E3%83%BC%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,はじける☆メロンソーダ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%AF%E3%81%98%E3%81%91%E3%82%8B%E2%98%86%E3%83%A1%E3%83%AD%E3%83%B3%E3%82%BD%E3%83%BC%E3%83%80%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,蓮ノ空歌留多,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%93%AE%E3%83%8E%E7%A9%BA%E6%AD%8C%E7%95%99%E5%A4%9A%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,アオクハルカ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%82%AA%E3%82%AF%E3%83%8F%E3%83%AB%E3%82%AB%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,雨と紫陽花に唄へば,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E9%9B%A8%E3%81%A8%E7%B4%AB%E9%99%BD%E8%8A%B1%E3%81%AB%E5%94%84%E3%81%B8%E3%81%B0%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,金魚◎花火,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E9%87%91%E9%AD%9A%E2%97%8E%E8%8A%B1%E7%81%AB%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,抱きしめる花びら,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%8A%B1%E3%81%8D%E3%81%97%E3%82%81%E3%82%8B%E8%8A%B1%E3%81%B3%E3%82%89%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,UR,KEY of Like！,https://wikiwiki.jp/llll_wiki/%EF%BC%BBKEY%20of%20Like%EF%BC%81%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,謳歌爛漫,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%AC%B3%E6%AD%8C%E7%88%9B%E6%BC%AB%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,Rose Garden,https://wikiwiki.jp/llll_wiki/%EF%BC%BBRose%20Garden%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,アメアガリストリート,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%A2%E3%83%A1%E3%82%A2%E3%82%AC%E3%83%AA%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,ペンギンアイス,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%9A%E3%83%B3%E3%82%AE%E3%83%B3%E3%82%A2%E3%82%A4%E3%82%B9%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,眩耀夜行,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%9C%A9%E8%80%80%E5%A4%9C%E8%A1%8C%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,SPLASH!!!!,https://wikiwiki.jp/llll_wiki/%EF%BC%BBSPLASH%21%21%21%21%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,素顔のピクセル,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%B4%A0%E9%A1%94%E3%81%AE%E3%83%94%E3%82%AF%E3%82%BB%E3%83%AB%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,Trick & Cute,https://wikiwiki.jp/llll_wiki/%EF%BC%BBTrick%20%26%20Cute%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,ハナムスビ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8F%E3%83%8A%E3%83%A0%E3%82%B9%E3%83%93%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,Link to the FUTURE,https://wikiwiki.jp/llll_wiki/%EF%BC%BBLink%20to%20the%20FUTURE%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,Special Thanks,https://wikiwiki.jp/llll_wiki/%EF%BC%BBSpecial%20Thanks%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,Pleasure Feather,https://wikiwiki.jp/llll_wiki/%EF%BC%BBPleasure%20Feather%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,Grace Phrase,https://wikiwiki.jp/llll_wiki/%EF%BC%BBGrace%20Phrase%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,薫風の調べ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%96%AB%E9%A2%A8%E3%81%AE%E8%AA%BF%E3%81%B9%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,水彩世界,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%B0%B4%E5%BD%A9%E4%B8%96%E7%95%8C%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,朝顔令嬢,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%9C%9D%E9%A1%94%E4%BB%A4%E5%AC%A2%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,月夜見海月,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%9C%88%E5%A4%9C%E8%A6%8B%E6%B5%B7%E6%9C%88%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,夏めきペイン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%A4%8F%E3%82%81%E3%81%8D%E3%83%9A%E3%82%A4%E3%83%B3%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,喫茶ハスノソラ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%96%AB%E8%8C%B6%E3%83%8F%E3%82%B9%E3%83%8E%E3%82%BD%E3%83%A9%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,節分 -魅-,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%AF%80%E5%88%86%20-%E9%AD%85-%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,SR,おしえて♡ティーチャー,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%8A%E3%81%97%E3%81%88%E3%81%A6%E2%99%A1%E3%83%86%E3%82%A3%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,R,オーロラスカイ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%AA%E3%83%BC%E3%83%AD%E3%83%A9%E3%82%B9%E3%82%AB%E3%82%A4%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,R,華紺青,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%8F%AF%E7%B4%BA%E9%9D%92%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,R,レインボーシフォン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%83%BC%E3%82%B7%E3%83%95%E3%82%A9%E3%83%B3%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
乙宗梢,R,室咲格子,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%AE%A4%E5%92%B2%E6%A0%BC%E5%AD%90%EF%BC%BD%E4%B9%99%E5%AE%97%E6%A2%A2
